제목,본문,목표가,투자의견,작성일,증권사
실적은 양호했으나 여전한 부담 요인들,"연간 순이익 17% (YoY) 증가
2024년 4분기 순이익은 전년동기대비 254% 증가한 1,360억원으로 컨센서스 23% 상회, 추정치 7% 하회했다. 보험손익에서 계절성 요인 및 계리적 가정 변경 등의 영향이 상대적으로 적었으며, 보험금융손익 개선으로 투자이익도 개선되었다. 연간 순이익은 17% (YoY) 증가한 7,206억원이었다.","3,200",OutPerform,25.02.21,키움증권
일시적 기대감 약화일 뿐,"시점의 문제일 뿐, 방향성에 대한 기존 의견 유지
지배구조 개편 및 밸류업 기대감 약화로 조정 시 매수 기회 활용 필요. 전일 화재 지분 추가 확보는 현재 검토중이지 않다고 발표, 이에 주가 급락 아직 화재 자회사 편입이 확정되지 않았으므로 이는 자연스러운 결과. 단, 승인 시 지분법 인식을 통한 주주가치 확대 목적의 화재 지분 확대 가능성 높다고 판단. 결국 시점의 문제일 뿐, 방향성에 대한 기존 의견 유지","110,000",매수,25.02.21,신한투자증권
MARIPOSA OS 데이터 공개 주목(초록 3/20),"투자의견 매수, 목표주가 16.5만원(기존 11.6만원)
목표주가는 영업가치 10.4조원(기존 3.9조원)과 파이프라인 가치 1조원(기존 3.4조원) 등을 고려해 산정했다. 기존에 레이저티닙 가치를 rNPV 기반 3.4조원으로 파이프라인 가치에 반영했었으나, 상업화를 고려해 멀티플 기반으로 영업가치에 반영한다. 영업가치는 28년 EBITDA의 현가(할인율 8.5%) 3,800억원에 EV/EBITDA 27x를 적용했다. 27x는 라즈클루즈 로열티/마일스톤 기반 고성장이 기대됨에 따라, SK바이오팜과 셀트리온 등 상업화 신약 보유 기업에 적용하는 멀티플이다. 신규 파이프라인 가치는 rNPV 기반 YH35324(IgE, CSU) 가치 5,763억원과 BI3006337(GLP-1/FGF21, MASH) 가치 3,738억원을 합산해 산정했다.","165,000",매수,25.02.24,미래에셋증권
밸류에이션 회복 국면,"인터넷/게임 최선호주 지속
동사의 목표주가를 기존 5.7만원에서 5.9만원으로 상향하고 인터넷/게임 업종 최선호주로 지속한다. 이는 본사 및 기타 사업부문 적정가치 6.1조원, 커머스 사업부문의 적정가치 7.1조원, 페이 지분가치 2.0조원, 뱅크 지분가치 2.3조원, 모빌리티 지분가치 3.3조원, 엔터테인먼트 지분가치 4.0조원, Kakao Piccoma 지분가치 1.0조원 및 게임즈 지분가치 0.5조원을 합산하였다. 동사의 선물하기 기능을 오픈 AI 오퍼레이터에 탑재함에 따른 양사간에 강결합 여지 등을 추가 투영하여 커머스 사업부문의 적정가치 산정시 잠재 PER을 20배에서 22.5배로 상향해 관련 적정가치를 기존 6.3조원에서 7.1조원으로 상향 반영하였다.","59,000",Buy,25.02.24,키움증권
AI 가속기로 고성장 고수익 구간 진입,"투자의견 ‘매수’, 목표주가 15,000원으로 커버리지 개시
투자의견 ‘매수’, 목표주가 15,000원으로 커버리지를 개시한다. 목표주가는 25년과 26년 적정 기업가치의 평균 값으로 산출했다. Target P/E는 22배를 적용했다. 22배는 두산 전자 BG의 Target P/E와 동일하며 대만 EMC의 25년 P/E에 20% 할증한 수치다. 할증의 근거는 26년 말까지 두산 전자가 NVIDIA 내에서 EMC 대비 경쟁 우위를 유지할 것이라는 점과 ASIC으로의 확장 가능성에 기반했다.  동사는 두산 전자와 10년간 연구 개발을 같이 해온 만큼 두산 전자의 고성장 수혜를 독점적으로 누릴 전망이다. 참고로 동사가 보유한 바이오 부문의 가치는 벨류에이션에 전혀 반영하지 않았다. 바이오 부문(줄기세포 치료 등)은 매년 50억원 내외의 적자를 기록하지만 한때 동사가 시가총액 1조원 넘게 거래된 만큼 시장이 평가하는 잠재적 가치는 높은 편이다.","15,000",매수,25.02.24,DS투자증권
해 뜨기 전 어두운 새벽,"투자의견 중립 유지, 목표주가 25,000원으로 하향
현대해상에 대한 투자의견 중립 유지, 목표주가는 기존 29,000원에서 25,000원으로 하향. 4분기 당기순손실은 컨센서스보다 양호했지만, 기타포괄손실 규모가 재차 확대되며 자본이 전분기대비 크게 감소했기 때문. 이에 따라 2025년 예상 BPS를 기존 85,961원에서 74,256원으로 하향하며 목표주가도 약 14% 하향. 4분기 당기순손실은 157억원으로 컨센서스 284억원 손실보다 양호했으나, K-ICS비율은 155.8%로 전분기대비 14.3%pt 하락. 다만 CSM 배수는 14.1배를 기록하며 꾸준한 상승세를 시현. 부진한 손익과 자본력이 지속되고 있으나, 점진적인 체질 개선도 나타나고 있다고 판단. 4분기 예실차와 손실부담계약 비용은 재차 대규모 손실을 기록했는데, 경영진은 1) 예상 보험금을 확대했고 2) 향후 손해율 개선을 기대하고 있기 때문에 2025년에는 관련 손실이 축소될 것으로 기대. CSM 잔액은 8.2조원으로 전분기대비 11.5% 감소. CSM 조정이 1.4조원 규모로 발생했기 때문. 무·저해지 보험 가이드라인 적용으로 7,300억원, 최적가정 변경으로 1,000억원 조정 발생. 경영진은 향후 최적가정 변경으로 인한 조정 폭은 감소할 것으로 기대. K-ICS비율은 155.8%로 전분기대비 14.3%pt, 전년동기대비 17.4%pt 하락. 더욱이 1분기에 반영될 경제적 가정 변경 영향은 13%pt에 달할 전망. 다만 경영진은 후순위채 발행과 공동재보험 등을 통해 2025년 말 K-ICS비율 160% 도달을 목표","25,000",중립,25.02.24,미래에셋증권
어려운 환경에도 성과를 내는 중,"2025년은 타워가 이끌고 하부구조물이 받쳐주는 실적
2025년 실적은 매출액 3.0조원(-2.7% YoY)과 영업이익 3,068억원(+11.4% YoY)으로 추정한다. 부문별로는 1) 타워: 2.2조원(+18.6% YoY, OPM 8.4%), 2) 해상풍력 하부구조물: 6,654억원(-41.5% YoY, OPM 18.0%)이다. 올해는 타워에서의 외형성장이 두드러진다. 증설을 끝내고 풀 가동 중인 베트남, 80%의 가동률을 보일 미국을 중심으로 중국, 대만 등 기타 생산시설들의 가동률도 올라갈 전망이다. 해상풍력 하부구조물 매출액은 축소되나 지난해 높아진 단가를 기반으로 양호한 수익성이 예상된다. 베어링도 올해 영업이익이 전년 대비 2배 이상 늘어나면서 전사 실적 확대에 기여할 전망이다.","56,000",매수,25.02.24,DS투자증권
견조한 타이어코드/수지. 아라미드 회복이 관..,"4Q24 영업이익 컨센 24% 하회
4Q24 영업이익은 358억원(QoQ +9%, YoY -12%)으로 컨센(473억원)을 24% 하회했다. 글로텍의 합병/성과급 등 일회성 비용 반영, 아라미드의 정기보수, 패션의 기상 기후에 따른 기대에 못 미치는 실적 등 영향이다. 다만, 화학은 약 7년 래 최대 분기 이익을 창출하며 선전했다는 점이 긍정적이었다. PET타이어코드의 영업이익은 약 120억원, OPM은 전분기와 유사한 10.6%를 추정한다. 타이트한 수급 환경과 윈터타이어의 계절적 수요 등 영향으로 추정된다. 다만, 아라미드는 정기보수에 따른 물량 감소, 경쟁 강화 둥 영향으로 OPM이 전분기 대비 재차 큰 폭으로 축소된 것으로 추정된다. 화학 영업이익은 259억원(QoQ +19%, OPM 10.2%)을 기록하며 전분기 대비 개선되며 약 7년 래 최대 분기 이익을 달성했다. 석유 수지는 YoY, QoQ 모두 실적이 개선되었고, 페놀수지는 조선경기 호조로 안정적 실적을 유지했으며 에폭시수지는 AI 및 5G 통신 소재 수요 확대로 실적 개선이 지속되고 있다. 패션 영업이익은 겨울철 이상 기후 영향으로 영업이익 128억원을 기록하며 YoY -61% 감익되었다.","39,000",Buy,25.02.24,하나증권
2027년 영업이익 1조원(가이던스) 가능할까?,"2027년 영업이익 1조원 제시
이마트는 2024년 4분기 실적을 발표하면서 2027년 중장기 가이던스를 밝혔다. 2027년까지 영업이익 1조원을 달성한다는 것이다. 명확한 근거를 밝히지 않아서 당사에서 가이던스의 가능 여부를 현재로써 명확하게 판단하기는 어렵다. 하지만, 당사에서는 근접할 수 있는 근거는 있다고 보고 있어 긍정적인 시각을 가지고 있다. 동사가 긍정적으로 생각하는 이유는 1) 2025년 하반기 G마켓 합작법인 출범 이후 영업이익에서 지분법으로 전환되고(674억 원), 2) 통합매입 효과(약 1,000~2,000억 원), 3) 2027년 신세계건설 그룹내 프로젝트 수행에 따른 영업적자 완화(약 1,400억 원), 4) 프라퍼티 회계기준 변경에 따른 효과(약 600억 원), 5) SSG.COM 물류 3PL 전환에 따른 수익성 개선(약 700억 원), 6) 인건비 개선 효과(약 600억 원) 등이다. 지난해 통상임금에 따른 1회성 비용을 반영하면 실질 영업이익은 약 1,600억 원 수준으로 분석한다. 여기에 개선 가능성이 높은 실적을 감안하면 2027년 영업이익은 6,600~7,600억 원까지 증가할 것으로 전망한다. 동사가 제시한 1조원에는 못 미치는 수준이지만, 턴 어라운드를 가정하기에는 충분할 수 있다. 하지만, 주의할 부분도 있다. 앞서 언급한 영업이익 증가 요인 중 G마켓 적자폭 축소와 프라퍼티 이익 증가분은 영업활동에 의해서 이루어진 부분이 아니다. 이에 약 1,200억 원은 감안해서 보는 것이 합리적이라 판단한다. 1조원까지 달성할 수 있을지는 모르겠지만, 실적 개선에 대한 근거는 충분하다는 생각이다.","95,000",매수,25.02.24,IBK투자증권
여전히 미수금 감소 여부에 집중해야할 때,"2025년 및 4Q24 실적 Review: 숫자 자체는 호실적
2024년 한국가스공사의 매출액은 38조 3,887억원(-13.8% YoY)을 기록했다. 발전용 중심의 판매 물량 감소(-45만톤) 및 판가 하락(-2.98원/MJ)이 모두 나타났다. 영업이익은 1조 4,500억원(93% YoY) 증가한 3조 34억원을 기록했다. 취약계층 가스요금 경감손실 감소(4,198억원), 입찰 담합 승소금(1,588억원) 등 공급비용 정산금액 감소(4,249억원), 용도별 원료비 손실 감소(2,533억원)이 주효했다. 해외 부문에서도 호주 모잠비크 가스전 등을 중심으로 실적 호조가 나타났다. 4Q24만으로는 매출액 9조 9,790억원(-5.9% YoY), 영업이익 1조 1,763억원(+122% YoY)으로 실적이 상대적으로 더 호조를 보였다. 공급 정산금액 감소분의 회계적 반영이 대부분 4Q24에 나타났고 해외 실적도 상대적으로 좋았다.","38,000",중립,25.02.24,미래에셋증권
"경상 체력이 가장 우수한데, 저평가","4Q24 순이익 1,943억원(-26% YoY), 기대치 하회
DB손해보험의 4Q24 별도 순이익은 1,943억원(-26% YoY)으로 당사 추정치와 시장 컨센서스를 각각 22%, 13% 하회하는 부진한 실적을 기록. 보험손익에서 비경상 손실이 예상되었으나 그 규모가 예상보다 크게 나타난 것이 원인 4Q24 보험손익은 1,605억원(-34% YoY)으로, 계리가정 가이드라인을 적용하면서 보유계약의 손실계약부담비용이 증가하고 CSM 상각익이 감소했으며 계절적으로 보험금 예실차가 악화되면서 부진. PAA손익은 자동차보험의 적자 전환에도 불구하고 기대보다 양호했는데, 계리가정 가이드 적용 영향이 예상보다 컸던 점이 손익 부진을 야기함. 4Q24 투자손익은 1,241억원(+34 YoY)으로 당사 추정과 동일. FVPL증권의 평가손과 손상차손이 일부 발생했으나 예상 범주 내에 있었음. 신계약은 인보험을 중심으로 10% QoQ 증가한 동시에 마진배수도 0.9개월 QoQ 상승하면서 신계약 CSM이 16% QoQ 증가함. 연중 일부 담보의 요율 인상으로 마진이 개선된 간편보험을 중심으로 성장한 데 따른 것으로 보임 다만 CSM 잔액은 7% QoQ 감소해 연간 1% 증가에 그침. 기중 조정이 -1.7조원 발생했기 때문인데, 계리가정 가이드라인을 적용하면서 무저해지 계약집합에서의 충격이 -1.3조원 반영된 것이 주된 원인. 동사의 경우 금융당국의 가정 변경 주문이 더 이상 없다면, 경상 흐름에서는 커버리지 보험사 중 가장 높은 CSM 증가율을 나타낼 전망 K-ICS비율은 201%대로 27%p QoQ 하락. FVOCI 해외채의 평가손과 CSM 감소 등이 주 원인. 이번 2월 발행한 후순위채(+)가 2025년 부채 할인율 인하 영향(-)을 상쇄하고 남으며, 연중 잉여금이 증대되면서 자본비율은 다시 우상향할 것으로 추정됨","129,000",Buy,25.02.24,한화투자증권
시간이 약이다,"배당재원 회복, 실손/비급여 개혁 시 밸류에이션 갭 축
여기서 더 나빠질 것은 없음. 배당가능이익이 회복되고 실손 및 비급여 개혁이 진행된다면 경쟁사와의 밸류에이션 갭 축소 가능. 중장기 매수 기회를 노려보아도 좋은 시점. 참고로 실손 손해율은 5세대 실손이 출시될 2026년 하반기부터 개선될 전망","32,000",매수,25.02.24,신한투자증권
약세장을 버티는 힘: 정책과 주주환원,"USTR 중국 선박 및 해운사 견제 조치 발표
지난 2월 21일 USTR(미국 무역대표부)는 중국 선사 및 선박과 관련한 해상 운송 서비스에 수수료를 부과하는 방안을 발표했다. 수수료는 크게 1) 입항시마다 100만 달러(최대 150만 달러) 부과 혹은 2) 용적물 기준 톤당 최대 1,000달러를 부과하는 방안 중 큰 금액이다. 이와 함께 미국산 제품의 미국 선박 이용 확대를 위해 해상운송되는 미국산 제품의 최소 1%를 미국 선사를 통해 운송함을 의무화했다. 중국선사 및 선박에 대한 견제는 최근 중국 최대 선사인 COSCO(OOCL 포함)의 미주 시장 점유율 확대에 기인한다. COSCO그룹의 2024년 미국 수입 시장에서의 컨테이너 수입량은 22% YoY 증가하며 1위(점유율 16%)를 차지한 바 있다. USTR은 3월 공청회를 거쳐 최종적으로 시행여부를 결정할 전망이다.","25,000",매수,25.02.25,미래에셋증권
후퇴는 추진력을 얻기 위함,"투자의견 매수, 목표주가 35,000원으로 -19.4% 하향
K-ICS비율이 160%를 하회함에 따라 ‘24년 배당은 지급하지 못함. ‘25년에도 배당 가시성이 요원하여 우리는 동사의 목표주가를 기존 44,000원에서 35,000원으로 -19.4% 하향 조정. 지난 12월 후순위채 9,000억원 발행에도 자본비율 하락을 막기에는 역부족이었으며 올해도 최종관찰만기 확대, 장기선도금리 인하 등 여전히 Challenge한 상황이 지속. 그럼에도 투자의견을 Buy로 유지하는 이유는, 악재는 모두 반영되었으며, 실손보험 개혁, 호흡기 질환 청구 감소, 3세대 실손보험 손해율 개선 등 이제는 동사에게 유리한 이벤트만 남았기 때문. 금번 계기를 통해 치열한 체질개선을 통해 자본안정성이 높은 회사로 거듭나기를 기대","35,000",Buy,25.02.25,대신증권
중국 저점 통과,"국내/동남아 호조, 중국 회복, 미국 부진
코스맥스의 4Q24 실적은 매출액 5,580억원(YoY +28%), 영업이익 398억원(YoY +77%)으로 매출과 이익 전반 시장 기대치를 상회하였다. 호실적 예상되었던 국내와 동남아가 기대보다도 양호했고, 그간 부진했던 중국이 우려 대비 개선되었다. 국내는 매출액 3,463억원(YoY +40%), 영업이익 346억원(YoY+98%, OPM 10%)으로 큰 폭 성장하였다. 고객사별, 카테고리별로도 편중되지 않게 고르게 확대되어 성장과 다변화가 동시에 나타났다(색조 기초 비중 50:50, 상위 10개 고객사 비중 51%). 동사는 전 분기부터 적극적으로 판관비 개선 중으로 금번 분기도 별도 대손상각비는 5억원(YoY -34억원)에 그쳤다. 외형 확대와 맞물려 2개 분기 연속으로 영업 레버리지에 비롯한 수익성 개선을 시현하였다. 동남아도 매출액 440억원(YoY +49%)으로 고성장하였다. 인니(+40%)와 태국(+78%) 모두 강한 수요가 이어지고 있다. 양 지역 모두 경쟁 강도는 낮지만 시장 성장은 강한 상황이다. 특히 태국은 주변 동남아 지역으로의 수출 기여도 커 차별적 성장이 나타나는 중이다. 중국은 매출액 1,550억원(YoY +5%)으로 2개 분기만에 성장 전환하였다. 상해 (-14%)가 여전히 부진하나, 광저우(+43%)가 고성장하였다. 이센 물량 효과가 주효했으며 이센 JV는 연간 목표 매출 500억원을 초과 달성한 것으로 파악된다. 미국은 매출액 298억원(YoY -21%)으로 우려보다도 저조했다. 고객사 오더가 부진했으며, 가동률 하락과 일회성 비용(유형/노후자산 폐기손실, 잡손실 등 50억원) 영향으로 적자도 확대되었다.","200,000",매수,25.02.25,미래에셋증권
염화칼륨이 견인하는 판가 상승 가능성,"염화칼륨 반등의 트리거(1): 곡물가 회복과 낮은 곡물 재고가 견인하는 수요
염화칼륨(KCl)은 비료 3대 구성요소인 NPK 중에서 K(칼륨, Potassium)에 해당하며, 유니드는 염화칼륨을 이용해 비료 및 산업용으로 사용되는 가성칼륨/탄산칼륨을 생산한다. 유니드의 글로벌 No.1으로서의 시장 지배력을 감안할 때, 원재료인 염화칼륨 가격 상승은 판가 상승의 트리거가 될 수 있다. 글로벌 칼륨비료 수요는 2년 연속 강하게 성장했다. 1) 2022년 러-우 전쟁에 따른 가격 급등으로 감소한 구매 수요가 2023~24년 가격 안정과 함께 회복되기 시작했고 2) 2023년 하반기부터 대두/옥수수/커피 가격이 회복되면서 브라질/미국의 작물 생산량 극대화도 나타났다. 3) 아시아에서는 팜유 가격 상승이 칼륨비료 수요 증가에 영향을 미쳤다. USDA에 따르면, 현재 글로벌 곡물 Stocks/Use Ratio는 역사적으로 낮은 14% 내외를 기록해 2025년 곡물 강세는 지속될 가능성이 높다. 낮아진 비료 가격과 높아진 곡물 가격을 감안하면 주요 작물 생산업체들의 Cash Margin 또한 과거 10년 평균 대비로는 높거나 비슷해져 생산량 확대 유인도 충분하다. 2025년 비료 수요 증가는 결국 염화칼륨(KCl) 가격 반등의 트리거다.","110,000",Buy,25.02.25,하나증권
최대 실적 경신. 저평가된 멀티플,"목표주가 33,000원, 투자의견 매수 유지
현대코퍼레이션 목표주가 33,000원, 투자의견 매수 유지한다. 4분기 실적은 시장 기대치를 상회했다. 동유럽 지정학적 리스크가 해소되는 분위기가 확인된다. 우크라이나 현지 지사가 있고 철도 등 여러 사업에서 협력한 과거 사례들을 감안하면 재건이 시작된 이후 유의미한 역할 수행이 기대된다. 글로벌 전력망 투자 증가 수혜가 안정적 이익 시현으로 이어지면서 실적 변동성 완화에 기여하고 있는 점이 긍정적이다. 2025년 추정 실적 기준 PER 2.7배, PBR 0.4배로 실적 규모 대비 멀티플은 저평가 구간이다.","33,000",Buy,25.02.25,하나증권
2025년 실적 성장성 제한적,"양호한 디스플레이 업황에도 불구하고 낙수효과 미미할 것으로 예상
1Q25는 통상적인 비수기임에도 불구하고 주요 TV 세트 업체들의 TV 패널 수요가 강하게 이어지면서 패널 가격도 반등세를 나타내고 있다. 중국 정부의 이구환신 정책 시행으로 IT 기기 소비 심리가 개선되면서 자국 내 TV, PC 등의 판매가 확대될 것으로 예상되기 때문이다. 또한 미국 트럼프 대통령으로부터 촉발된 관세 정책 리스크를 완화시키기 위한 TV 제조사들의 전략적인 패널 구매도 증가하고 있다. 현재 미국에서 판매되는 TV 세트의 상당수가 멕시코, 중국 등에서 제조되고 있다. 지정학적 위험이 높아지는 가운데 미국 내 점유율을 높이려는 TV 제조업체들은 1Q25에 미국 시장 TV세트 출하 시점을 앞당길 수 밖에 없어 패널 구매 계획을 늘릴 것으로 예상된다. 그러나 동사의 경우 LG디스플레이의 사업 정상화를 위한 구조조정, 주력 중국 고객사내 점유율 하락 등의 요인으로 실질적인 수혜가 미미할 것으로 전망된다.","81,000",Buy,25.02.25,iM증권
역대 최대 매출 달성,"4Q24 Review: 역대 최대 매출 달성
코스맥스의 4분기 실적은 연결 매출 5.6천억원(YoY+28%), 영업이익 398억원(YoY+77%, 영업이익률 7%)으로 역대 최대 매출을 달성했다. 성수기와 비수기가 구분되지 않는 실적으로 국내에서 압도적인 성과 시현했다. 수출 주도 브랜드가 대형화되며, 또한 R&D 역량에 대한 니즈가 높아지면서, 상위 ODM사로의 수주 집중도가 높아지고 있는 것으로 파악된다. 중국은 저점 통과 중이며, 인도네시아와 태국은 산업 호조 및 성공적인 현지화 대응으로 호실적 기록했다. 미국은 아쉬우나, 전사적으로는 압도적 실적이라는 점에선 변함없다. 한편 대손 환입 20억원이 반영되어, 채권 관리의 안전성이 높아졌음을 증명했다.","220,000",Buy,25.02.25,하나증권
4Q24 Re: ODM 왕좌의 위엄 (QnA 포함),"4Q24 Re: ODM 왕좌의 위엄
4분기 연결 매출액 및 영업이익은 각각 5,580억원(YoY 28%), 398억원(YoY 77%)으로 높아진 시장기대치 부합한 호실적 기록. 4분기 기준 역대 최고 매출 및 OPM 기록. 특히, 한국 매출이 YoY 40% 성장했는데, 인디브랜드 수출/ 글로벌 브랜드향 직수출 호조 기인. 동남아도 기대 이상 성과를 기록한 가운데, 중국 매출도 YoY 성장. 연결 기준 대손상각비는 20억원 환입 되었음. 1) 한국 매출 3,463억원(YoY 40%), 영업이익 346억원(YoY 98%) 시현. 4분기 비수기 시즌에도 불구하고 견조한 매출 흐름. 롬앤/티르티르/더파운더즈 등 Top 고객사 매출 견조. 파운데이션, 립, 에센스 등 전 품목 고른 성장을 이어나간 것으로 파악됨. 직수출도 글로벌 브랜드 고객사향으로 전 품목 고른 성장으로 YoY 49% 증가 추산.  영업이익은 매출 레버리지 효과로 견조한 성장. 2) 중국 매출은 YoY 5% 성장. 상해는 YoY -14% 감소했지만, 이익은 흑전. 광저우는 YoY 43% 성장. 광저우 별도는 신제품 히트로 매출 YoY 20~30% 성장 추산. 또한 잇센 매출 타 ODM 물량 이관 영향으로 고무적 성장. 3) 미국 매출은  YoY -10% 시현. 미국은 작년 LA영업사무소 개소이후 15개 고객사 확보해 제품 개발 진행 중이며, 하반기부터 매출 기여 전망. 4) 동남아 매출은 YoY 49% 시현. 인도네시아는 YoY 40%, 태국 YoY 78% 시현. 동남아 지역에서는 ODM 독보적 경쟁력을 바탕으로 견조한 시장 상황이 맞물려 견조한 성장 중인 것으로 파악됨","220,000",Buy,25.02.25,교보증권
원가 상승 구간,"4분기 영업이익 154억원(YoY -44%) 기록
4분기 연결 기준 매출은 4,041억원(YoY 14%), 영업이익은 154억원(YoY -44%)를 기록했다. 달러기준 매출 성장률은 YoY 7%를 달성했는데, 칼라앤터치 등 자회사 매출 신장의 대부분이었으며, 별도 성장률은 YoY 3%에 그쳤다. Q(물량)은 전년도와 유사한 수준이었고, P(단가) 상승 효과가 매출 성장을 견인했다. 수주 확보가 제한적인 상황에서, 고마진 브랜드사의 판가 인하 압력까지 가해지면서 마진율이 훼손된 것으로 파악된다. 이에 따라 원가율이 큰 폭 상승했고, 영업이익률은 3.8%로 전년대비 3.9%p나 하락했다. 아이티 법인 생산공장 축소에 따른 설비자산 일회성 비용과 퇴직급여 충당금도 비용 부담 요인으로 작용했다.","17,000",Buy,25.02.25,하나증권
올해도 기대해보자,"투자의견 BUY 유지하며, 목표주가 210,000원(+17%)으로 상향
2025년에도 K뷰티의 높아진 글로벌 침투율을 바탕으로 인디브랜드의 수출 호조가 지속되며 국내법인의 견조한 외형 성장 전망. 동남아 화장품 업황 호조로 매출 고성장세가 연중 이어질 것으로 예상되어 실적 추정치를 상향 조정하며 목표주가 상향. 중국은 신규 브랜드 유치, 생산물량 이관 등 실적 개선을 위해 다양한 전략을 펼칠 계획. 중국 매출 비중이 높은 기업으로 중국 소비 회복 시 추가적인 실적 상향 가능성이 남아있다는 판단. 미국은 지난해 10월 오픈한 서부사무소 영업 효과로 하반기 신규 고객사향 매출 발생 기대. 지난해 부진했던 중국과 미국은 올해 점진적 개선이 예상됨에 따라 해외 실적은 상저하고 전망","210,000",Buy,25.02.25,대신증권
발행 주식의 6% 소각 결정,"25~27년 3년간 매년 2%의 자사주 소각 결정
전일 3개년 주주환원 계획을 발표했다. 주주환원 강화 및 기업 가치 제고를 위해 총 보통주 발행주식의 6%를 소각하기로 했다. 시작연도는 25년부터 27년까지이며 매년 균등 소각이다. 매년 보통주 발행주식의 2%, 33만주를 소각한다. 당초 자사주를 담보로 한 EB (교환사채) 발행 루머가 있었고 이에 대해 사측은 부인한 바 있다. 오히려 향후 중장기 주주환원 정책을 강화한다는 방침이다. 25년부터는 두산에너빌리티의 실적 개선 여부와 전자 BG의 이익 개선 등을 고려하여 배당금 증가 가능성도 열려 있다.","450,000",매수,25.02.26,DS투자증권
"현대엔지니어링, 세종안성 고속도로 붕괴 사..","세종-안성간 건설공사 교량 붕괴 사고 발생
- 2025년 2월 25일 세종-안성간 건설공사(고속국도 제29호선 세종~안성간 건설공사(제9공구) 현장에서 교량 붕괴 사고가 발생했다. 전체 공사 길이는 4.1km로 교량 구간은 1.1km, 터널 구간은 3km 구간으로 사고가 난 부분은 청용천교(상하행 540m) 구간이다. 해당 사고로 다수 인명 피해가 발생했다. 해당 현장은 교량공 구간은 7곳, 터널 구간은 3곳으로 구성되어 있다.
- 해당 현장의 발주처는 한국도로공사, 현장의 전체 계약금액은 2,053억원, 시공사는 현대엔지니어링(50%), 호반산업(30%), 범양건영(20%)였으나, 범양건영의 컨소시엄 탈퇴로 현재의 시공 지분은 현대엔지니어링 62.5%, 호반산업 37.5%다. 공사기간은 2019년 12월 ~ 2026년 12월로 현재 시점의 공정률은 56.6%다.","42,000",Buy,25.02.26,iM증권
BTS 컴백과 4팀의 신인 남자 그룹 데뷔,"목표주가 상향 및 최선호주 유지
작년 11월 ‘2번의 증명, 3번째 기회’의 자료에서 주장했듯이 과거 동방신기/빅뱅의 제대 전후로 주가(혹은 밸류에이션)이 가파르게 상승했는데, 최근 주가 역시 매우 유사한 궤적을 보여주고 있다. 물론, 최근 몇 달간 주가가 50% 이상 상승하면서 2024년 예상 P/E 40배 내외에 근접해 단기적인 주가 레벨에 대한 고민이 있을 수는 있다. 하지만, 하반기에이를 정당화할 가파른 EPS 상향이 나타날 것으로 예상하는데, BTS의 매출이 온기 반영되는 2026년에 약 300만명 내외의 월드 투어 발표와 현재 환율 수준(약 1,400원/$)이 지속된다면 연간 예상 영업이익은 5,000억원에 근접할 것이고, 이는 약 15조원(OP 약 30배) 내외의 시가총액 혹은 약 35만원 내외의 주가까지 상승 여력이 있음을 의미한다. 최근, 산업 내 3번의 북미 투어(스트레이키즈, 제이홉, 블랙핑크) 발표 때마다 주가가 유의미한 상승을 했다는 점도 하반기 BTS이 투어 발표를 기대하게 하는 부분이다. 목표 P/E를 상향해 목표주가를 310,000원(+11%)으로 상향하는데, 추후 모든 기획사에 상향 적용하여 목표주가를 동반 상향할 계획이다. 최선호 섹터이자 하이브를 최선호주로 지속 제시한다.","310,000",Buy,25.02.26,하나증권
4Q24 Re: 유럽에서의 성장에 주목,"4Q24 Review: 유럽에서의 성장에 주목
셀트리온의 4Q24 매출액 및 영업이익은 각 약 1조 637억원 (+81.8% YoY, +20.6% QoQ) 및 1,964억원(-5.4% QoQ)으로 컨센서스 소폭 하회하였다. 美 짐펜트라 매출이 약 280억원 대로 기대 대비 소폭 성장이 지연된 반면 램시마 SC 약 1,700 억원 및 베그젤마 , 유플라이마 등 후속 바이오시밀러의 유럽 지역 매출 성장 및 베그젤마의 미국 지역 침투가 두드러지며 이를 상쇄하였다 . 2024년 12월부터 시작된 3공장 상업 생산 개시로 인한 초기 운영 비용이 발생하여 일시적으로 매출원가율이 3분기 약 47.5%에서 4분기 약 48.9%로 소폭 상승하였다. 기타 매출원가 및 판관비에서의 일시적 비용(ex. 프랑스 M-contribution 등)을 제외한다면 향후 영업이익 개선속도는 더욱 가팔라질 전망이다. 25년 연간 셀트리온은 후속 바이오시밀러 및 짐펜트라의 성장에 힘입어 매출액 4조 3,801억원 (+23.1% YoY) 및 영업이익 1조 3,053억원(+165.3% YoY, OPM 29.8%)를 달성할 것으로 기대된다.","240,000",매수,25.02.26,DS투자증권
